SN,Name ,Symbol ,Status ,Sector ,Instrument ,Email,Website
1,Nabil Bank Limited,NABIL,Active,Commercial Banks,Equity,rajesh.bogati@nabilbank.com,
2,Standard Chartered Bank Limited,SCB,Active,Commercial Banks,Equity,Legal.Nepal@sc.com,
3,Himalayan Bank Limited,HBL,Active,Commercial Banks,Equity,legal@himalayanbank.com,
4,Nepal SBI Bank Limited,SBI,Active,Commercial Banks,Equity,cs@nsbl.com.np,https://nsbl.statebank
5,Everest Bank Limited,EBL,Active,Commercial Banks,Equity,sharedept@ebl.com.np,
6,NIC Asia Bank Ltd.,NICA,Active,Commercial Banks,Equity,nica.nots@nicasiabank.com,
7,Machhapuchhre Bank Limited,MBL,Active,Commercial Banks,Equity,machbank@mbl.com.np,http://www.machbank.com
8,Laxmi Bank Limited,LBL,Active,Commercial Banks,Equity,piyush.aryal@laxmibank.com,
9,Siddhartha Bank Limited,SBL,Active,Commercial Banks,Equity,laxman.ghimire@sbl.com.np,
10,Soaltee Hotel Limited,SHL,Active,Hotels And Tourism,Equity,lbkhatri@soaltee.com.np,
11,Taragaon Regency Hotel Limited,TRH,Active,Hotels And Tourism,Equity,info@taragaon.com,
12,Oriental Hotels Limited,OHL,Active,Hotels And Tourism,Equity,legal@radkat.com.np,
13,National Hydro Power Company Limited,NHPC,Active,Hydro Power,Equity,nhpc@nhpc.com,
14,Butwal Power Company Limited,BPCL,Active,Hydro Power,Equity,hari.budhathoki@bpc.com.np,http://www.bpc.com.np
15,Chilime Hydropower Company Limited,CHCL,Active,Hydro Power,Equity,narayanprasad.acharya@chilime.com.np,
16,Salt Trading Corporation,STC,Active,Tradings,Equity,legalstcnepal@gmail.com,
17,Bishal Bazar Company Limited,BBC,Active,Tradings,Equity,info@bishalbazar.com.np,
18,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Active,Microfinance,Equity,info@nirdhan.com,
19,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,Active,Microfinance,Equity,info@chhimekbank.org,
20,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Active,Microfinance,Equity,gyanendra.aryal@ddbank.org.np,
21,Sanima Bank Limited,SANIMA,Active,Commercial Banks,Equity,sanima@sanimageneral.com,
22,Narayani Development Bank Limited,NABBC,Active,Development Banks,Equity,info@ndbl.com.np,
23,Nepal Insurance Co. Ltd.,NICL,Active,Non Life Insurance,Equity,legal@nepalinsurance.com.np,
24,Rastriya Beema Company Limited,RBCL,Active,Non Life Insurance,Equity,niranjan.acharya@rbcl.gov.np,
25,National Life Insurance Co. Ltd.,NLICL,Active,Life Insurance,Equity,it@nationallife.com.np,
26,Himalayan Everest Insurance Limited,HEI,Active,Non Life Insurance,Equity,subindra.shrestha@hei.com.np,
27,United Insurance Co. (Nepal) Ltd.,UIC,Active,Non Life Insurance,Equity,info@unitedinsurance.com.np,
28,Neco Insurance Limited,NIL,Active,Non Life Insurance,Equity,bishnu@neco.com.np,http://www.necoinsurance.com.np
29,IME General Insurance Ltd.,IGI,Active,Non Life Insurance,Equity,compliance@iginepal.com,http://www.iginepal.com
30,Nepal Life Insurance Co. Ltd.,NLIC,Active,Life Insurance,Equity,info@nepallife.com.np,
31,Life Insurance Corporation (Nepal) Limited,LICN,Active,Life Insurance,Equity,cs@licnepal.com.np,http://www.licnepal.com.np
32,Prudential Insurance Co. Ltd.,PICL,Active,Non Life Insurance,Equity,picl@prudential.com.np,http://www.prudential.com.np
33,Shikhar Insurance Co. Ltd.,SICL,Active,Non Life Insurance,Equity,suraj@shikharinsurance.com                                              ,http://www.shikharinsurance.com
34,Nepal Finance Ltd.,NFS,Active,Finance,Equity,info@nepalfinance.com.np,
35,Bottlers Nepal (Balaju) Limited,BNL,Active,Manufacturing And Processing,Equity,prburma@coca-cola.com.np,
36,Nepal Lube Oil Limited,NLO,Active,Manufacturing And Processing,Equity,g.bhattarai@cg.holdings,
37,Gurkhas Finance Ltd.,GUFL,Active,Finance,Equity,mukunda@gurkhasfinance.com.np,www.gurkhasfinance.com.np
38,Citizen Investment Trust,CIT,Active,Investment,Equity,cit.cmkt@gmail.com,
39,Bottlers Nepal (Terai) Limited,BNT,Active,Manufacturing And Processing,Equity,prburma@coca-cola.com.np,
40,Unilever Nepal Limited,UNL,Active,Manufacturing And Processing,Equity,unl.shareholdersconnect@unilever.com,
41,Best Finance Company Ltd.,BFC,Active,Finance,Equity,raj.shrestha@bestfinance.com.np,
42,Goodwill Finance Limited,GFCL,Active,Finance,Equity,gfcl@gfcl.com,
43,Himalayan Distillery Limited,HDL,Active,Manufacturing And Processing,Equity,netra.timsina@jginepal.com,
44,Pokhara Finance Ltd.,PFL,Active,Finance,Equity,buddhilaxmi.gurung@pokharafinance.com.np,
45,NMB Bank Limited,NMB,Active,Commercial Banks,Equity,pramod.dahal@nmb.com.np,http://www.nmb.com.np
46,Shree Investment Finance Co. Ltd.,SIFC,Active,Finance,Equity,info@shreefinance.com.np,http://www.shreefinance.com.np
47,Central Finance Co. Ltd.,CFCL,Active,Finance,Equity,info@centralfinance.com.np,
48,Janaki Finance Company Limited,JFL,Active,Finance,Equity,janakifinancecompany@yahoo.com,
49,Prabhu Bank Limited,PRVU,Active,Commercial Banks,Equity,amit.bhandari@prabhubank.com,
50,Samriddhi Finance Company Limited,SFCL,Active,Finance,Equity,cs@sfcl.com.np,http://www.wmerchantbank.com
51,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Active,Finance,Equity,compliance@gmbf.com.np,
52,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Active,Microfinance,Equity,dr.shakya@swbbl.com.np,
53,ICFC Finance Limited,ICFC,Active,Finance,Equity,nepsereport@icfcbank.com,www.icfcbank.com
54,Excel Development Bank Ltd.,EDBL,Active,Development Banks,Equity,info@edb.com.np,
55,Nepal Doorsanchar Company Limited,NTC,Active,Others,Equity,cs.nt@ntc.net.np,http://www.ntc.net.np
56,Progressive Finance Limited,PROFL,Active,Finance,Equity,bishal@pfltd.com.np,http://www.pfltd.com.np
57,Citizens Bank International Limited,CZBIL,Active,Commercial Banks,Equity,rajendra.shrestha@ctznbank.com,
58,Prime Commercial Bank Ltd.,PCBL,Active,Commercial Banks,Equity,CS@pcbl.com.np,
59,Lumbini Bikas Bank Ltd.,LBBL,Active,Development Banks,Equity,hari.subedi@lumbinibikasbank.com,
60,Sunrise Bank Limited,SRBL,Active,Commercial Banks,Equity,info@sunrisebank.com.np,
61,Arun Valley Hydropower Development Co. Ltd.,AHPC,Active,Hydro Power,Equity,arunvalley2054@gmail.com,
62,Miteri Development Bank Limited,MDB,Active,Development Banks,Equity,ramesh@miteribank.com.np,http://www.miteribank.com.np
63,Asian Life Insurance Co. Limited,ALICL,Active,Life Insurance,Equity,murariraj.humagain@asianlife.com.np,
64,Nerude Laghubitta Bittiya Sanstha Limited,NLBBL,Active,Microfinance,Equity,nerudeprasasan@gmail.com,
65,Agricultural Development Bank Limited,ADBL,Active,Commercial Banks,Equity,cs@adbl.gov.np,
66,Mahalaxmi Bikas Bank Ltd.,MLBL,Active,Development Banks,Equity,som.pant@mahalaxmi.com.np,http://www.yetibank.com
67,Garima Bikas Bank Limited,GBBL,Active,Development Banks,Equity,info@garimabank.com.np,
68,Jyoti Bikas Bank Limited,JBBL,Active,Development Banks,Equity,krishna.oasti@jbbl.com.np,
69,Karnali Development Bank Limited,KRBL,Active,Development Banks,Equity,sniraaz@kdblnepal.com,
70,Corporate Development Bank Limited,CORBL,Active,Development Banks,Equity,info@corporatebank.com.np,
71,Kamana Sewa Bikas Bank Limited,KSBBL,Active,Development Banks,Equity,cs@kamanasewabank.com,
72,Multipurpose Finance Company Limited,MPFL,Active,Finance,Equity,mfclfin43@gmail.com,
73,Shangrila Development Bank Ltd.,SADBL,Active,Development Banks,Equity,info@shangrilabank.com,
