S.N,SECURITY_ID,SYMBOL,SECURITY_NAME
1,152,NHPC,National Hydro Power Company Limited
2,177,RBCL,Rastriya Beema Company Limited
3,187,NLIC,Nepal Life Insurance Co. Ltd.
4,238,NMB,NMB Bank Limited
5,559,NLG,NLG Insurance Company Ltd.
6,682,MMFDB,Mirmire Laghubitta Bittya Sanstha Limited
7,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited
8,1740,GIMES1,Global IME Samunnat Scheme-1
9,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd
10,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited
11,8024,NBF3,Nabil Balanced Fund-3
12,8074,KDBY,Kumari Dhanabriddhi Yojana
13,8106,GIBF1,Global IME Balanced Fund-1
14,8121,SPHL,Sayapatri Hydropower Limited
15,155,STC,Salt Trading Corporation
16,371,MDB,Miteri Development Bank Limited
17,561,SINDU,Sindhu Bikash Bank Ltd
18,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited
19,700,HEIP,Himalayan Everest Insurance Limited Promoter
20,2755,NIBLPF,NIBL Pragati Fund
21,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited
22,2806,GHL,Ghalemdi Hydro Limited
23,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited
24,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED
25,2851,NIBD2082,10.5 % NEPAL INVESTMENT DEBENTURE 2082
26,2860,SAPDBL,Saptakoshi Development Bank Ltd
27,2898,NRN,NRN Infrastructure and Development Limited
28,2917,CGH,Chandragiri Hills Limited
29,8021,SAHAS,Sahas Urja Limited
30,8026,NYADI,Nyadi Hydropower Limited
31,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited
32,131,NABIL,Nabil Bank Limited
33,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited
34,178,NLICL,National Life Insurance Co. Ltd.
35,256,SFCL,Samriddhi Finance Company Limited
36,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited
